"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","29","Create file","LMS service","Sun Dec 14 17:44:59 UTC 2025","passed","Sun Dec 14 17:44:59 UTC 2025","Create entity","Files","",""
"","554","Login with correct email and password","LMS service","Sun Dec 14 17:44:54 UTC 2025","passed","Sun Dec 14 17:44:55 UTC 2025","Login","Authentication","",""
"","292","Delete file","LMS service","Sun Dec 14 17:45:02 UTC 2025","passed","Sun Dec 14 17:45:02 UTC 2025","Delete entity","Files","",""
"","14","Get file","LMS service","Sun Dec 14 17:45:01 UTC 2025","passed","Sun Dec 14 17:45:01 UTC 2025","Get entity","Files","",""
"","260","Get file with incorrect file id","LMS service","Sun Dec 14 17:45:02 UTC 2025","passed","Sun Dec 14 17:45:03 UTC 2025","Validate entity","Files","",""
"","21","Get exercises","LMS service","Sun Dec 14 17:44:59 UTC 2025","passed","Sun Dec 14 17:44:59 UTC 2025","Get entities","Exercises","",""
"","539","Create user","LMS service","Sun Dec 14 17:45:02 UTC 2025","passed","Sun Dec 14 17:45:03 UTC 2025","Create entity","Users","",""
"","265","Create file with empty directory","LMS service","Sun Dec 14 17:45:02 UTC 2025","passed","Sun Dec 14 17:45:02 UTC 2025","Validate entity","Files","",""
"","17","Get exercise","LMS service","Sun Dec 14 17:44:58 UTC 2025","passed","Sun Dec 14 17:44:58 UTC 2025","Get entity","Exercises","",""
"","17","Delete exercise","LMS service","Sun Dec 14 17:44:58 UTC 2025","passed","Sun Dec 14 17:44:58 UTC 2025","Delete entity","Exercises","",""
"","287","Create user","LMS service","Sun Dec 14 17:45:03 UTC 2025","passed","Sun Dec 14 17:45:03 UTC 2025","Create entity","Users","",""
"","32","Create course","LMS service","Sun Dec 14 17:44:56 UTC 2025","passed","Sun Dec 14 17:44:56 UTC 2025","Create entity","Courses","",""
"","28","Get courses","LMS service","Sun Dec 14 17:44:55 UTC 2025","passed","Sun Dec 14 17:44:55 UTC 2025","Get entities","Courses","",""
"","12","Get user me","LMS service","Sun Dec 14 17:45:04 UTC 2025","passed","Sun Dec 14 17:45:04 UTC 2025","Get entity","Users","",""
"","33","Update course","LMS service","Sun Dec 14 17:44:56 UTC 2025","passed","Sun Dec 14 17:44:56 UTC 2025","Update entity","Courses","",""
"","20","Create exercise","LMS service","Sun Dec 14 17:44:57 UTC 2025","passed","Sun Dec 14 17:44:57 UTC 2025","Create entity","Exercises","",""
"","560","Create user","LMS service","Sun Dec 14 17:45:03 UTC 2025","passed","Sun Dec 14 17:45:03 UTC 2025","Create entity","Users","",""
"","256","Create file with empty filename","LMS service","Sun Dec 14 17:45:00 UTC 2025","passed","Sun Dec 14 17:45:01 UTC 2025","Validate entity","Files","",""
"","24","Update exercise","LMS service","Sun Dec 14 17:44:57 UTC 2025","passed","Sun Dec 14 17:44:57 UTC 2025","Update entity","Exercises","",""
