"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","23","Update exercise","LMS service","Wed Nov 12 12:19:59 UTC 2025","passed","Wed Nov 12 12:19:59 UTC 2025","Update entity","Exercises","",""
"","20","Delete file","LMS service","Wed Nov 12 12:20:04 UTC 2025","passed","Wed Nov 12 12:20:04 UTC 2025","Delete entity","Files","",""
"","553","Login with correct email and password","LMS service","Wed Nov 12 12:19:56 UTC 2025","passed","Wed Nov 12 12:19:57 UTC 2025","Login","Authentication","",""
"","26","Create file with empty filename","LMS service","Wed Nov 12 12:20:02 UTC 2025","passed","Wed Nov 12 12:20:02 UTC 2025","Validate entity","Files","",""
"","20","Get exercises","LMS service","Wed Nov 12 12:20:01 UTC 2025","passed","Wed Nov 12 12:20:01 UTC 2025","Get entities","Exercises","",""
"","547","Create user","LMS service","Wed Nov 12 12:20:04 UTC 2025","passed","Wed Nov 12 12:20:04 UTC 2025","Create entity","Users","",""
"","21","Create exercise","LMS service","Wed Nov 12 12:19:59 UTC 2025","passed","Wed Nov 12 12:19:59 UTC 2025","Create entity","Exercises","",""
"","12","Get user me","LMS service","Wed Nov 12 12:20:06 UTC 2025","passed","Wed Nov 12 12:20:06 UTC 2025","Get entity","Users","",""
"","27","Get courses","LMS service","Wed Nov 12 12:19:57 UTC 2025","passed","Wed Nov 12 12:19:57 UTC 2025","Get entities","Courses","",""
"","518","Create user","LMS service","Wed Nov 12 12:20:04 UTC 2025","passed","Wed Nov 12 12:20:05 UTC 2025","Create entity","Users","",""
"","22","Get exercise","LMS service","Wed Nov 12 12:20:00 UTC 2025","passed","Wed Nov 12 12:20:00 UTC 2025","Get entity","Exercises","",""
"","31","Create course","LMS service","Wed Nov 12 12:19:58 UTC 2025","passed","Wed Nov 12 12:19:58 UTC 2025","Create entity","Courses","",""
"","13","Get file","LMS service","Wed Nov 12 12:20:02 UTC 2025","passed","Wed Nov 12 12:20:02 UTC 2025","Get entity","Files","",""
"","21","Create file with empty directory","LMS service","Wed Nov 12 12:20:04 UTC 2025","passed","Wed Nov 12 12:20:04 UTC 2025","Validate entity","Files","",""
"","558","Create user","LMS service","Wed Nov 12 12:20:05 UTC 2025","passed","Wed Nov 12 12:20:05 UTC 2025","Create entity","Users","",""
"","30","Update course","LMS service","Wed Nov 12 12:19:58 UTC 2025","passed","Wed Nov 12 12:19:58 UTC 2025","Update entity","Courses","",""
"","17","Delete exercise","LMS service","Wed Nov 12 12:20:00 UTC 2025","passed","Wed Nov 12 12:20:00 UTC 2025","Delete entity","Exercises","",""
"","267","Get file with incorrect file id","LMS service","Wed Nov 12 12:20:05 UTC 2025","passed","Wed Nov 12 12:20:05 UTC 2025","Validate entity","Files","",""
"","26","Create file","LMS service","Wed Nov 12 12:20:01 UTC 2025","passed","Wed Nov 12 12:20:01 UTC 2025","Create entity","Files","",""
