"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","24","Create file with empty filename","LMS service","Tue Nov 11 21:35:58 UTC 2025","passed","Tue Nov 11 21:35:58 UTC 2025","Validate entity","Files","",""
"","12","Get user me","LMS service","Tue Nov 11 21:36:01 UTC 2025","passed","Tue Nov 11 21:36:01 UTC 2025","Get entity","Users","",""
"","557","Create user","LMS service","Tue Nov 11 21:36:00 UTC 2025","passed","Tue Nov 11 21:36:01 UTC 2025","Create entity","Users","",""
"","22","Get exercise","LMS service","Tue Nov 11 21:35:55 UTC 2025","passed","Tue Nov 11 21:35:55 UTC 2025","Get entity","Exercises","",""
"","17","Delete exercise","LMS service","Tue Nov 11 21:35:55 UTC 2025","passed","Tue Nov 11 21:35:55 UTC 2025","Delete entity","Exercises","",""
"","30","Get courses","LMS service","Tue Nov 11 21:35:52 UTC 2025","passed","Tue Nov 11 21:35:52 UTC 2025","Get entities","Courses","",""
"","264","Get file with incorrect file id","LMS service","Tue Nov 11 21:36:00 UTC 2025","passed","Tue Nov 11 21:36:00 UTC 2025","Validate entity","Files","",""
"","550","Login with correct email and password","LMS service","Tue Nov 11 21:35:51 UTC 2025","passed","Tue Nov 11 21:35:52 UTC 2025","Login","Authentication","",""
"","25","Get exercises","LMS service","Tue Nov 11 21:35:56 UTC 2025","passed","Tue Nov 11 21:35:56 UTC 2025","Get entities","Exercises","",""
"","29","Update exercise","LMS service","Tue Nov 11 21:35:54 UTC 2025","passed","Tue Nov 11 21:35:54 UTC 2025","Update entity","Exercises","",""
"","28","Create file","LMS service","Tue Nov 11 21:35:56 UTC 2025","passed","Tue Nov 11 21:35:56 UTC 2025","Create entity","Files","",""
"","22","Create exercise","LMS service","Tue Nov 11 21:35:54 UTC 2025","passed","Tue Nov 11 21:35:54 UTC 2025","Create entity","Exercises","",""
"","26","Delete file","LMS service","Tue Nov 11 21:35:59 UTC 2025","passed","Tue Nov 11 21:35:59 UTC 2025","Delete entity","Files","",""
"","32","Update course","LMS service","Tue Nov 11 21:35:53 UTC 2025","passed","Tue Nov 11 21:35:53 UTC 2025","Update entity","Courses","",""
"","561","Create user","LMS service","Tue Nov 11 21:35:59 UTC 2025","passed","Tue Nov 11 21:35:59 UTC 2025","Create entity","Users","",""
"","22","Create file with empty directory","LMS service","Tue Nov 11 21:35:59 UTC 2025","passed","Tue Nov 11 21:35:59 UTC 2025","Validate entity","Files","",""
"","513","Create user","LMS service","Tue Nov 11 21:35:59 UTC 2025","passed","Tue Nov 11 21:36:00 UTC 2025","Create entity","Users","",""
"","30","Create course","LMS service","Tue Nov 11 21:35:53 UTC 2025","passed","Tue Nov 11 21:35:53 UTC 2025","Create entity","Courses","",""
"","12","Get file","LMS service","Tue Nov 11 21:35:58 UTC 2025","passed","Tue Nov 11 21:35:58 UTC 2025","Get entity","Files","",""
