"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30","Get courses","LMS service","Tue Nov 11 20:40:39 UTC 2025","passed","Tue Nov 11 20:40:39 UTC 2025","Get entities","Courses","",""
"","262","Create file with empty filename","LMS service","Tue Nov 11 20:40:44 UTC 2025","passed","Tue Nov 11 20:40:45 UTC 2025","Validate entity","Files","",""
"","540","Create user","LMS service","Tue Nov 11 20:40:46 UTC 2025","passed","Tue Nov 11 20:40:47 UTC 2025","Create entity","Users","",""
"","262","Create file with empty directory","LMS service","Tue Nov 11 20:40:46 UTC 2025","passed","Tue Nov 11 20:40:46 UTC 2025","Validate entity","Files","",""
"","264","Get file with incorrect file id","LMS service","Tue Nov 11 20:40:47 UTC 2025","passed","Tue Nov 11 20:40:47 UTC 2025","Validate entity","Files","",""
"","29","Update exercise","LMS service","Tue Nov 11 20:40:41 UTC 2025","passed","Tue Nov 11 20:40:41 UTC 2025","Update entity","Exercises","",""
"","33","Update course","LMS service","Tue Nov 11 20:40:40 UTC 2025","passed","Tue Nov 11 20:40:40 UTC 2025","Update entity","Courses","",""
"","16","Get file","LMS service","Tue Nov 11 20:40:45 UTC 2025","passed","Tue Nov 11 20:40:45 UTC 2025","Get entity","Files","",""
"","12","Get user me","LMS service","Tue Nov 11 20:40:48 UTC 2025","passed","Tue Nov 11 20:40:48 UTC 2025","Get entity","Users","",""
"","297","Delete file","LMS service","Tue Nov 11 20:40:46 UTC 2025","passed","Tue Nov 11 20:40:46 UTC 2025","Delete entity","Files","",""
"","27","Create course","LMS service","Tue Nov 11 20:40:40 UTC 2025","passed","Tue Nov 11 20:40:40 UTC 2025","Create entity","Courses","",""
"","556","Create user","LMS service","Tue Nov 11 20:40:47 UTC 2025","passed","Tue Nov 11 20:40:47 UTC 2025","Create entity","Users","",""
"","551","Login with correct email and password","LMS service","Tue Nov 11 20:40:38 UTC 2025","passed","Tue Nov 11 20:40:39 UTC 2025","Login","Authentication","",""
"","22","Get exercise","LMS service","Tue Nov 11 20:40:42 UTC 2025","passed","Tue Nov 11 20:40:42 UTC 2025","Get entity","Exercises","",""
"","20","Create exercise","LMS service","Tue Nov 11 20:40:41 UTC 2025","passed","Tue Nov 11 20:40:41 UTC 2025","Create entity","Exercises","",""
"","29","Create file","LMS service","Tue Nov 11 20:40:44 UTC 2025","passed","Tue Nov 11 20:40:44 UTC 2025","Create entity","Files","",""
"","17","Delete exercise","LMS service","Tue Nov 11 20:40:42 UTC 2025","passed","Tue Nov 11 20:40:42 UTC 2025","Delete entity","Exercises","",""
"","288","Create user","LMS service","Tue Nov 11 20:40:47 UTC 2025","passed","Tue Nov 11 20:40:47 UTC 2025","Create entity","Users","",""
"","21","Get exercises","LMS service","Tue Nov 11 20:40:44 UTC 2025","passed","Tue Nov 11 20:40:44 UTC 2025","Get entities","Exercises","",""
