"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30","Update course","LMS service","Tue Nov 11 21:46:19 UTC 2025","passed","Tue Nov 11 21:46:19 UTC 2025","Update entity","Courses","",""
"","17","Delete exercise","LMS service","Tue Nov 11 21:46:21 UTC 2025","passed","Tue Nov 11 21:46:21 UTC 2025","Delete entity","Exercises","",""
"","24","Update exercise","LMS service","Tue Nov 11 21:46:20 UTC 2025","passed","Tue Nov 11 21:46:20 UTC 2025","Update entity","Exercises","",""
"","557","Create user","LMS service","Tue Nov 11 21:46:26 UTC 2025","passed","Tue Nov 11 21:46:26 UTC 2025","Create entity","Users","",""
"","12","Get file","LMS service","Tue Nov 11 21:46:24 UTC 2025","passed","Tue Nov 11 21:46:24 UTC 2025","Get entity","Files","",""
"","21","Get exercises","LMS service","Tue Nov 11 21:46:23 UTC 2025","passed","Tue Nov 11 21:46:23 UTC 2025","Get entities","Exercises","",""
"","21","Get exercise","LMS service","Tue Nov 11 21:46:21 UTC 2025","passed","Tue Nov 11 21:46:21 UTC 2025","Get entity","Exercises","",""
"","548","Login with correct email and password","LMS service","Tue Nov 11 21:46:17 UTC 2025","passed","Tue Nov 11 21:46:18 UTC 2025","Login","Authentication","",""
"","22","Create exercise","LMS service","Tue Nov 11 21:46:20 UTC 2025","passed","Tue Nov 11 21:46:20 UTC 2025","Create entity","Exercises","",""
"","11","Get user me","LMS service","Tue Nov 11 21:46:27 UTC 2025","passed","Tue Nov 11 21:46:27 UTC 2025","Get entity","Users","",""
"","21","Create file with empty filename","LMS service","Tue Nov 11 21:46:24 UTC 2025","passed","Tue Nov 11 21:46:24 UTC 2025","Validate entity","Files","",""
"","258","Create file with empty directory","LMS service","Tue Nov 11 21:46:25 UTC 2025","passed","Tue Nov 11 21:46:25 UTC 2025","Validate entity","Files","",""
"","31","Get courses","LMS service","Tue Nov 11 21:46:18 UTC 2025","passed","Tue Nov 11 21:46:18 UTC 2025","Get entities","Courses","",""
"","28","Create file","LMS service","Tue Nov 11 21:46:23 UTC 2025","passed","Tue Nov 11 21:46:23 UTC 2025","Create entity","Files","",""
"","292","Delete file","LMS service","Tue Nov 11 21:46:25 UTC 2025","passed","Tue Nov 11 21:46:25 UTC 2025","Delete entity","Files","",""
"","25","Create course","LMS service","Tue Nov 11 21:46:19 UTC 2025","passed","Tue Nov 11 21:46:19 UTC 2025","Create entity","Courses","",""
"","558","Create user","LMS service","Tue Nov 11 21:46:26 UTC 2025","passed","Tue Nov 11 21:46:26 UTC 2025","Create entity","Users","",""
"","255","Get file with incorrect file id","LMS service","Tue Nov 11 21:46:26 UTC 2025","passed","Tue Nov 11 21:46:26 UTC 2025","Validate entity","Files","",""
"","561","Create user","LMS service","Tue Nov 11 21:46:25 UTC 2025","passed","Tue Nov 11 21:46:26 UTC 2025","Create entity","Users","",""
