"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","259","Create file with empty directory","LMS service","Tue Nov 11 21:47:32 UTC 2025","passed","Tue Nov 11 21:47:32 UTC 2025","Validate entity","Files","",""
"","14","Get file","LMS service","Tue Nov 11 21:47:31 UTC 2025","passed","Tue Nov 11 21:47:31 UTC 2025","Get entity","Files","",""
"","300","Update course","LMS service","Tue Nov 11 21:47:26 UTC 2025","passed","Tue Nov 11 21:47:26 UTC 2025","Update entity","Courses","",""
"","20","Get exercises","LMS service","Tue Nov 11 21:47:30 UTC 2025","passed","Tue Nov 11 21:47:30 UTC 2025","Get entities","Exercises","",""
"","20","Update exercise","LMS service","Tue Nov 11 21:47:27 UTC 2025","passed","Tue Nov 11 21:47:27 UTC 2025","Update entity","Exercises","",""
"","563","Create user","LMS service","Tue Nov 11 21:47:33 UTC 2025","passed","Tue Nov 11 21:47:34 UTC 2025","Create entity","Users","",""
"","26","Create exercise","LMS service","Tue Nov 11 21:47:27 UTC 2025","passed","Tue Nov 11 21:47:27 UTC 2025","Create entity","Exercises","",""
"","567","Create user","LMS service","Tue Nov 11 21:47:32 UTC 2025","passed","Tue Nov 11 21:47:33 UTC 2025","Create entity","Users","",""
"","28","Create course","LMS service","Tue Nov 11 21:47:26 UTC 2025","passed","Tue Nov 11 21:47:26 UTC 2025","Create entity","Courses","",""
"","290","Create user","LMS service","Tue Nov 11 21:47:33 UTC 2025","passed","Tue Nov 11 21:47:33 UTC 2025","Create entity","Users","",""
"","293","Delete file","LMS service","Tue Nov 11 21:47:32 UTC 2025","passed","Tue Nov 11 21:47:32 UTC 2025","Delete entity","Files","",""
"","19","Get exercise","LMS service","Tue Nov 11 21:47:28 UTC 2025","passed","Tue Nov 11 21:47:28 UTC 2025","Get entity","Exercises","",""
"","26","Create file","LMS service","Tue Nov 11 21:47:30 UTC 2025","passed","Tue Nov 11 21:47:30 UTC 2025","Create entity","Files","",""
"","301","Get courses","LMS service","Tue Nov 11 21:47:25 UTC 2025","passed","Tue Nov 11 21:47:25 UTC 2025","Get entities","Courses","",""
"","553","Login with correct email and password","LMS service","Tue Nov 11 21:47:24 UTC 2025","passed","Tue Nov 11 21:47:25 UTC 2025","Login","Authentication","",""
"","21","Delete exercise","LMS service","Tue Nov 11 21:47:28 UTC 2025","passed","Tue Nov 11 21:47:28 UTC 2025","Delete entity","Exercises","",""
"","266","Get file with incorrect file id","LMS service","Tue Nov 11 21:47:33 UTC 2025","passed","Tue Nov 11 21:47:33 UTC 2025","Validate entity","Files","",""
"","13","Get user me","LMS service","Tue Nov 11 21:47:34 UTC 2025","passed","Tue Nov 11 21:47:34 UTC 2025","Get entity","Users","",""
"","23","Create file with empty filename","LMS service","Tue Nov 11 21:47:31 UTC 2025","passed","Tue Nov 11 21:47:31 UTC 2025","Validate entity","Files","",""
