"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","513","Create user","LMS service","Wed Nov 12 18:03:59 UTC 2025","passed","Wed Nov 12 18:03:59 UTC 2025","Create entity","Users","",""
"","270","Login with correct email and password","LMS service","Wed Nov 12 18:03:51 UTC 2025","passed","Wed Nov 12 18:03:51 UTC 2025","Login","Authentication","",""
"","13","Get exercises","LMS service","Wed Nov 12 18:03:56 UTC 2025","passed","Wed Nov 12 18:03:56 UTC 2025","Get entities","Exercises","",""
"","530","Create user","LMS service","Wed Nov 12 18:03:59 UTC 2025","passed","Wed Nov 12 18:04:00 UTC 2025","Create entity","Users","",""
"","531","Create user","LMS service","Wed Nov 12 18:03:59 UTC 2025","passed","Wed Nov 12 18:04:00 UTC 2025","Create entity","Users","",""
"","247","Create file with empty filename","LMS service","Wed Nov 12 18:03:57 UTC 2025","passed","Wed Nov 12 18:03:57 UTC 2025","Validate entity","Files","",""
"","284","Update course","LMS service","Wed Nov 12 18:03:52 UTC 2025","passed","Wed Nov 12 18:03:53 UTC 2025","Update entity","Courses","",""
"","24","Get courses","LMS service","Wed Nov 12 18:03:52 UTC 2025","passed","Wed Nov 12 18:03:52 UTC 2025","Get entities","Courses","",""
"","18","Get exercise","LMS service","Wed Nov 12 18:03:55 UTC 2025","passed","Wed Nov 12 18:03:55 UTC 2025","Get entity","Exercises","",""
"","275","Update exercise","LMS service","Wed Nov 12 18:03:54 UTC 2025","passed","Wed Nov 12 18:03:54 UTC 2025","Update entity","Exercises","",""
"","282","Create course","LMS service","Wed Nov 12 18:03:53 UTC 2025","passed","Wed Nov 12 18:03:53 UTC 2025","Create entity","Courses","",""
"","245","Create file with empty directory","LMS service","Wed Nov 12 18:03:58 UTC 2025","passed","Wed Nov 12 18:03:58 UTC 2025","Validate entity","Files","",""
"","275","Delete exercise","LMS service","Wed Nov 12 18:03:55 UTC 2025","passed","Wed Nov 12 18:03:55 UTC 2025","Delete entity","Exercises","",""
"","12","Get user me","LMS service","Wed Nov 12 18:04:00 UTC 2025","passed","Wed Nov 12 18:04:00 UTC 2025","Get entity","Users","",""
"","21","Create exercise","LMS service","Wed Nov 12 18:03:53 UTC 2025","passed","Wed Nov 12 18:03:53 UTC 2025","Create entity","Exercises","",""
"","22","Delete file","LMS service","Wed Nov 12 18:03:59 UTC 2025","passed","Wed Nov 12 18:03:59 UTC 2025","Delete entity","Files","",""
"","12","Get file","LMS service","Wed Nov 12 18:03:57 UTC 2025","passed","Wed Nov 12 18:03:57 UTC 2025","Get entity","Files","",""
"","242","Get file with incorrect file id","LMS service","Wed Nov 12 18:03:59 UTC 2025","passed","Wed Nov 12 18:03:59 UTC 2025","Validate entity","Files","",""
"","244","Create file","LMS service","Wed Nov 12 18:03:56 UTC 2025","passed","Wed Nov 12 18:03:56 UTC 2025","Create entity","Files","",""
